"gene_id","predicted_expr","gene_name","grp"
"ENSG00000058085.15_7",0.0503036555894273,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.146769309251746,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.10117809302501,"CD276","Healthy"
"ENSG00000134575.13_9",-0.173433464236892,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.195632033081824,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.23419920070681,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.0641452149618624,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.470037276027708,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.163780288166436,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.013955566957883,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.224668631215183,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.323671624468412,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.206437611695093,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.103950744995551,"CD276","Healthy"
"ENSG00000134575.13_9",-0.209315163469746,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.207258565633198,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.154772038101726,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.105547029908423,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.412800086169431,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.278904455220443,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0649901886154644,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.294825021969047,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.194355515867211,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.0246803085290097,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.131051909702252,"CD276","Healthy"
"ENSG00000134575.13_9",-0.171257537058401,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.146223669360665,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.119810635861625,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.130167690153163,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.521572056606908,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.2428411816884,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0398066457977378,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.154737973057497,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.388318432187176,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.206364111557498,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.150475764076932,"CD276","Healthy"
"ENSG00000134575.13_9",-0.379613217641223,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.255612169608397,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.238959350476513,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.143039662161057,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.636153298158399,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.232282171580666,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.110319699746029,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.0444537871567958,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.243450856978614,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.019365977523501,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.111626783584452,"CD276","Healthy"
"ENSG00000134575.13_9",-0.191166338023739,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.230220495156839,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.197997108984156,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.157773543480827,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.384124313946566,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.279774136301415,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.130570525435769,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.185956103608757,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.0375829130862311,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.206344039114457,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.0899031577685332,"CD276","Healthy"
"ENSG00000134575.13_9",-0.184553565464327,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.20914377260694,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.162261032688894,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.141542449292224,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.430057760881796,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.282034927976474,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0318097391283245,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.173598792959715,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.019579728354349,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.113099481892819,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.0995931066497253,"CD276","Healthy"
"ENSG00000134575.13_9",-0.13722699260811,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.124363012562064,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.150915238449986,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.125610235842777,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.32038014145989,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.144503324456292,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0453909353025243,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.292607154594842,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.380657190456271,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.279480628309418,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.163012608408823,"CD276","Healthy"
"ENSG00000134575.13_9",-0.31193057865052,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.302109811122804,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.313537288093652,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.176169309662426,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.592173658339375,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.380883489736928,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0835042789432844,"CFLAR","Healthy"
