twin_pair	bray_dist
P002	0.94825953859376
P003	0.381353474366414
P004	0.390697327371332
P005	0.713861268437085
P006	0.467433820937946
P007	0.26399480935907
P008	0.747319962428925
P009	0.146339403285859
P010	0.632692022131734
P011	0.187740783634597
P012	0.732529806986951
P013	0.522649591114589
P014	0.15804180244974
P015	0.246254818844758
P016	0.63602810367736
P017	0.77594719255982
P018	0.900600529873254
P019	0.972940611028732
P020	0.808508586394799
P021	0.262499790062907
P022	0.476343971662801
P023	0.257728716451077
P024	0.348504642486928
P025	0.312912678711709
P026	0.354111718182506
P027	0.183831957669559
P028	0.539609893975478
P029	0.396530876902778
P030	0.194562772685492
P031	0.624787333831352
P032	0.931921249302698
P033	0.619685718835635
P034	0.706981262990883
P035	0.467592583397977
P036	0.438458759629063
P037	0.822532045870994
P038	0.735790311470236
P039	0.312801738644352
P040	0.898145059155085
P041	0.884439104008335
P042	0.501151639234328
P043	0.285478541849333
P044	0.979689192470226
P045	0.963515035223456
P046	0.262259723271971
P047	0.910316598163819
P048	0.678440490752912
P049	0.699209405674492
P050	0.743982359046622
P051	0.259337085147704
P052	0.858217155005592
P053	0.599625730549563
P054	0.322388902975152
P056	0.40148779742862
P057	0.81926332653106
P058	0.359259754238874
P059	0.712493395171227
P060	0.546928117567868
P061	0.711389900175224
P062	0.642110501148863
P063	0.780811160792572
P064	0.291161817997097
P065	0.436631003233389
P066	0.465239303261248
P067	0.918998668239376
P068	0.28835703313393
P069	0.85028745264226
P070	0.317254282042667
P071	0.706958697721655
P072	0.671678174326957
P073	0.46589065861422
P074	0.637626104518502
P075	0.574595652990818
P076	0.437964074890756
P077	0.416865499978869
P078	0.242918162832315
P079	0.282811724394926
P080	0.40142426313065
P081	0.214189515711345
P082	0.60314483766613
P083	0.573689018101783
P084	0.758654037858488
P085	0.757122905889145
P086	0.716243882053947
P087	0.441853142670563
P088	0.958067437019863
P089	0.413875894367225
P090	0.411916243094838
P091	0.504546657567849
P092	0.355475212769119
P093	0.518781684791308
P094	0.716445289581789
P095	0.778630642189842
P096	0.779230823725282
P097	0.975860578788999
P098	0.797224772278996
P099	0.252327464074083
P100	0.87596882105013
P101	0.242262962074878
P102	0.924273666752561
P105	0.398864988407768
P106	0.623611163614841
P107	0.289737833954637
P108	0.38210713616617
P109	0.615256453367847
P110	0.277121050108951
P111	0.941668990627236
P113	0.191307037944353
P116	0.784779361414909
P118	0.422331076280436
